ID;Team;Dataset #;Toolbox used;Quality/Pruning: Method;Motion Artifact Method;Resample/Downsample (Hz);Filtering;Removal of the Global Signals during Preprocessing;Non-GLM: Method;GLM: Method;GLM: HRF Regressor;GLM: Other Regressors;Stat Analysis: Software;Stat Analysis: Method;Stat Analysis: On Signal Type;Stat Analysis: Signal Space;Stat Analysis: Metric;Test for Normality;Stat Analysis: Threshold (p< X);Multiple Comparisons Correction
4;BabyRhythm_UNIPD;1;Matlab;Other;Rejection;Unknown;BandPass;Other;Block Averaging;Unknown;Unknown;Unknown;Unknown;Mixed Effects Model;HbO and HbR;ROI;signal amplitude (windowed);Unknown;0.05;Unknown
4;BabyRhythm_UNIPD;1;Matlab;Other;Rejection;Unknown;BandPass;Other;Block Averaging;Unknown;Unknown;Unknown;Unknown;ANOVA;HbO and HbR;ROI;signal amplitude (windowed);Unknown;0.05;Unknown
4;BabyRhythm_UNIPD;1;Matlab;Other;Rejection;Unknown;BandPass;Other;Block Averaging;Unknown;Unknown;Unknown;Unknown;Two-tailed t-test;HbO and HbR;ROI;signal amplitude (windowed);Unknown;0.05;Unknown
4;BabyRhythm_UNIPD;2;Matlab;Other;Rejection;Unknown;BandPass;Other;Block Averaging;Unknown;Unknown;Unknown;Unknown;Mixed Effects Model;HbO and HbR;ROI;signal amplitude (windowed);Unknown;0.05;Unknown
4;BabyRhythm_UNIPD;2;Matlab;Other;Rejection;Unknown;BandPass;Other;Block Averaging;Unknown;Unknown;Unknown;Unknown;ANOVA;HbO and HbR;ROI;signal amplitude (windowed);Unknown;0.05;Unknown
4;BabyRhythm_UNIPD;2;Matlab;Other;Rejection;Unknown;BandPass;Other;Block Averaging;Unknown;Unknown;Unknown;Unknown;Two-tailed t-test;HbO and HbR;ROI;signal amplitude (windowed);Unknown;0.05;Unknown
5;Bayet lab Feb2023;1;HOMER3;SNR Threshold;Targeted PCA;Unknown;BandPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;Linear Mixed Effects;HbO only;ROI;signal amplitude ;Unknown;0.05;Unknown
5;Bayet lab Feb2023;2;HOMER3;SNR Threshold;Targeted PCA;Unknown;BandPass;No;Block Averaging;Unknown;Unknown;Unknown;Unknown;One-tailed t-test;HbO and HbR;ROI;signal amplitude ;Unknown;0.025;Bonferroni
6;BFF;1;Matlab;PSP (Cardiac Power Spectrum Peak);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;Paired t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;Matlab;PSP (Cardiac Power Spectrum Peak);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-tailed t-test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;Matlab;PSP (Cardiac Power Spectrum Peak);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-Sample t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;Matlab;SCI (Scalp-Coupling Index);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;Paired t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;Matlab;SCI (Scalp-Coupling Index);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-tailed t-test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;Matlab;SCI (Scalp-Coupling Index);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-Sample t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;Matlab;Manual Selection;Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;Paired t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;Matlab;Manual Selection;Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-tailed t-test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;Matlab;Manual Selection;Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-Sample t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;R;PSP (Cardiac Power Spectrum Peak);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;Paired t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;R;PSP (Cardiac Power Spectrum Peak);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-tailed t-test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;R;PSP (Cardiac Power Spectrum Peak);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-Sample t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;R;SCI (Scalp-Coupling Index);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;Paired t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;R;SCI (Scalp-Coupling Index);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-tailed t-test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;R;SCI (Scalp-Coupling Index);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-Sample t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;R;Manual Selection;Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;Paired t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;R;Manual Selection;Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-tailed t-test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;R;Manual Selection;Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-Sample t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;HOMER3;PSP (Cardiac Power Spectrum Peak);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;Paired t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;HOMER3;PSP (Cardiac Power Spectrum Peak);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-tailed t-test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;HOMER3;PSP (Cardiac Power Spectrum Peak);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-Sample t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;HOMER3;SCI (Scalp-Coupling Index);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;Paired t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;HOMER3;SCI (Scalp-Coupling Index);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-tailed t-test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;HOMER3;SCI (Scalp-Coupling Index);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-Sample t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;HOMER3;Manual Selection;Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;Paired t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;HOMER3;Manual Selection;Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-tailed t-test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;HOMER3;Manual Selection;Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-Sample t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;QT NIRS;PSP (Cardiac Power Spectrum Peak);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;Paired t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;QT NIRS;PSP (Cardiac Power Spectrum Peak);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-tailed t-test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;QT NIRS;PSP (Cardiac Power Spectrum Peak);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-Sample t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;QT NIRS;SCI (Scalp-Coupling Index);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;Paired t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;QT NIRS;SCI (Scalp-Coupling Index);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-tailed t-test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;QT NIRS;SCI (Scalp-Coupling Index);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-Sample t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;QT NIRS;Manual Selection;Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;Paired t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;QT NIRS;Manual Selection;Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-tailed t-test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;1;QT NIRS;Manual Selection;Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-Sample t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;2;Matlab;PSP (Cardiac Power Spectrum Peak);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-tailed t-test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;2;Matlab;PSP (Cardiac Power Spectrum Peak);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-Sample t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;2;Matlab;SCI (Scalp-Coupling Index);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-tailed t-test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;2;Matlab;SCI (Scalp-Coupling Index);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-Sample t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;2;Matlab;Manual Selection;Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-tailed t-test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;2;Matlab;Manual Selection;Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-Sample t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;2;R;PSP (Cardiac Power Spectrum Peak);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-tailed t-test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;2;R;PSP (Cardiac Power Spectrum Peak);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-Sample t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;2;R;SCI (Scalp-Coupling Index);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-tailed t-test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;2;R;SCI (Scalp-Coupling Index);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-Sample t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;2;R;Manual Selection;Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-tailed t-test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;2;R;Manual Selection;Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-Sample t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;2;HOMER3;PSP (Cardiac Power Spectrum Peak);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-tailed t-test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;2;HOMER3;PSP (Cardiac Power Spectrum Peak);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-Sample t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;2;HOMER3;SCI (Scalp-Coupling Index);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-tailed t-test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;2;HOMER3;SCI (Scalp-Coupling Index);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-Sample t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;2;HOMER3;Manual Selection;Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-tailed t-test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;2;HOMER3;Manual Selection;Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-Sample t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;2;QT NIRS;PSP (Cardiac Power Spectrum Peak);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-tailed t-test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;2;QT NIRS;PSP (Cardiac Power Spectrum Peak);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-Sample t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;2;QT NIRS;SCI (Scalp-Coupling Index);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-tailed t-test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;2;QT NIRS;SCI (Scalp-Coupling Index);Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-Sample t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;2;QT NIRS;Manual Selection;Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-tailed t-test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
6;BFF;2;QT NIRS;Manual Selection;Wavelet Filter;Unknown;LowPass;No;Block Averaging;Unknown;Unknown;Unknown;RStudio;One-Sample t-Test;HbO only;ROI;signal amplitude (windowed);Shapiro-Wilk;0.05;Bonferroni
7;Bionics Institute HUM team;1;MNE;Unknown;TDDR;Unknown;BandPass;Unknown;GLM;Default;SPM;Short Channels;Matlab;Paired t-Test;HbO only;ROI;beta values provided by GLM;Unknown;0.05;Bonferroni
7;Bionics Institute HUM team;2;NIRS Toolbox;Unknown;TDDR;Unknown;BandPass;No;Block Averaging;Unknown;Unknown;Unknown;Unknown;Other;HbO only;ROI;Other;Unknown;"0.05;";Bonferroni
7;Bionics Institute HUM team;2;Matlab;Unknown;TDDR;Unknown;BandPass;No;Block Averaging;Unknown;Unknown;Unknown;Unknown;Other;HbO only;ROI;Other;Unknown;"0.05;";Bonferroni
7;Bionics Institute HUM team;2;HOMER3;Unknown;TDDR;Unknown;BandPass;No;Block Averaging;Unknown;Unknown;Unknown;Unknown;Other;HbO only;ROI;Other;Unknown;"0.05;";Bonferroni
8;CBCD_fNIRS;1;HOMER3;SCI (Scalp-Coupling Index);Wavelet Filter;Unknown;BandPass;No;GLM;OLS (Ordinary Least Squares);Consecutive Gaussian;Short Channels;Matlab;One-Sample t-Test;HbO and HbR;Channel;beta values provided by GLM;Unknown;0.05;Unknown
8;CBCD_fNIRS;1;HOMER3;PSP (Cardiac Power Spectrum Peak);Wavelet Filter;Unknown;BandPass;No;GLM;OLS (Ordinary Least Squares);Consecutive Gaussian;Short Channels;Matlab;One-Sample t-Test;HbO and HbR;Channel;beta values provided by GLM;Unknown;0.05;Unknown
8;CBCD_fNIRS;1;QT NIRS;SCI (Scalp-Coupling Index);Wavelet Filter;Unknown;BandPass;No;GLM;OLS (Ordinary Least Squares);Consecutive Gaussian;Short Channels;Matlab;One-Sample t-Test;HbO and HbR;Channel;beta values provided by GLM;Unknown;0.05;Unknown
8;CBCD_fNIRS;1;QT NIRS;PSP (Cardiac Power Spectrum Peak);Wavelet Filter;Unknown;BandPass;No;GLM;OLS (Ordinary Least Squares);Consecutive Gaussian;Short Channels;Matlab;One-Sample t-Test;HbO and HbR;Channel;beta values provided by GLM;Unknown;0.05;Unknown
8;CBCD_fNIRS;2;HOMER3;PSP (Cardiac Power Spectrum Peak);Wavelet Filter;Unknown;BandPass;No;GLM;OLS (Ordinary Least Squares);SPM;Short Channels;Matlab;One-Sample t-Test;HbO and HbR;Channel;beta values provided by GLM;Unknown;0.05;FDR
8;CBCD_fNIRS;2;HOMER3;SCI (Scalp-Coupling Index);Wavelet Filter;Unknown;BandPass;No;GLM;OLS (Ordinary Least Squares);SPM;Short Channels;Matlab;One-Sample t-Test;HbO and HbR;Channel;beta values provided by GLM;Unknown;0.05;FDR
8;CBCD_fNIRS;2;NIRS-SPM;PSP (Cardiac Power Spectrum Peak);Wavelet Filter;Unknown;BandPass;No;GLM;OLS (Ordinary Least Squares);SPM;Short Channels;Matlab;One-Sample t-Test;HbO and HbR;Channel;beta values provided by GLM;Unknown;0.05;FDR
8;CBCD_fNIRS;2;NIRS-SPM;SCI (Scalp-Coupling Index);Wavelet Filter;Unknown;BandPass;No;GLM;OLS (Ordinary Least Squares);SPM;Short Channels;Matlab;One-Sample t-Test;HbO and HbR;Channel;beta values provided by GLM;Unknown;0.05;FDR
8;CBCD_fNIRS;2;QT NIRS;PSP (Cardiac Power Spectrum Peak);Wavelet Filter;Unknown;BandPass;No;GLM;OLS (Ordinary Least Squares);SPM;Short Channels;Matlab;One-Sample t-Test;HbO and HbR;Channel;beta values provided by GLM;Unknown;0.05;FDR
8;CBCD_fNIRS;2;QT NIRS;SCI (Scalp-Coupling Index);Wavelet Filter;Unknown;BandPass;No;GLM;OLS (Ordinary Least Squares);SPM;Short Channels;Matlab;One-Sample t-Test;HbO and HbR;Channel;beta values provided by GLM;Unknown;0.05;FDR
9;C-BRAIN;1;NIRS Toolbox;Visual Inspection of Time Domain;Wavelet Filter;2;Unknown;No;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);Default;Short Channels;nirs toolbox;Mixed Effects Model;HbO only;Channel;beta values provided by GLM;Unknown;0.05;FDR
9;C-BRAIN;2;NIRS Toolbox;Visual Inspection of Time Domain;TDDR;1;Unknown;No;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);FIR;Short Channels;Matlab;Mixed Effects Model;HbO only;Channel;beta values provided by GLM;Unknown;0.05 ;FDR
9;C-BRAIN;2;NIRS Toolbox;Visual Inspection of Time Domain;TDDR;1;Unknown;No;GLM;AR-IRLS (Autoregressive model based pre-whitening filter and robust regression);FIR;Short Channels;nirs toolbox;Mixed Effects Model;HbO only;Channel;beta values provided by GLM;Unknown;0.05 ;FDR
10;Charles Angels;1;HOMER3;SNR Threshold;Spline Interpolation;Unknown;BandPass;No;Block Averaging;Unknown;Unknown;Unknown;Unknown;One-Sample t-Test;HbO and HbR;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;1;HOMER3;SNR Threshold;Spline Interpolation;Unknown;BandPass;No;Block Averaging;Unknown;Unknown;Unknown;Unknown;Paired t-Test;HbO and HbR;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;1;HOMER3;SNR Threshold;Wavelet Filter;Unknown;BandPass;No;Block Averaging;Unknown;Unknown;Unknown;Unknown;One-Sample t-Test;HbO and HbR;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;1;HOMER3;SNR Threshold;Wavelet Filter;Unknown;BandPass;No;Block Averaging;Unknown;Unknown;Unknown;Unknown;Paired t-Test;HbO and HbR;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;1;HOMER3;Manual Selection;Spline Interpolation;Unknown;BandPass;No;Block Averaging;Unknown;Unknown;Unknown;Unknown;One-Sample t-Test;HbO and HbR;ROI;signal amplitude (windowed);Unknown;0.05;None
10;Charles Angels;1;HOMER3;Manual Selection;Spline Interpolation;Unknown;BandPass;No;Block Averaging;Unknown;Unknown;Unknown;Unknown;Paired t-Test;HbO and HbR;ROI;signal amplitude (windowed);Unknown;0.05;None
