	ID	Team	Dataset #	Toolbox used	Quality/Pruning: Method	Quality/Pruning: Default Parameters?	Quality/Pruning: Parameters Used	Data quality/pruning: Default	Quality/Pruning: Method: Notes	Quality/Pruning: Total #CH pruned	Quality/Pruning: Total #Sbj pruned	Motion Artifact Method	Motion Artifact Correction: Default Parameters?	Motion Artifact Correction: Parameters Used	Motion Artifact: Notes	Motion Artifact Rejection	"Motion Artifact Rejection: Total Rejected (#Trials; #Subjects) copy"	Resample/Downsample (Hz)	Filtering	"Filtering Cutoff (Hz_cutoff; type; order)"	"Filtering (type; order)"	Did you use Default Parameters for your Filters?	Filtered Signal	Removal of the Global Signals during Preprocessing	MBLL DPF/PPF	Non-GLM: Method	Non-GLM: Notes	GLM: Method	GLM AR Order	GLM: Method: Notes	GLM: HRF Regressor	GLM: HRF Regressor: Notes	GLM: Other Regressors	GLM: Other Regressors: Notes	Stat Analysis: Software	Stat Analysis: Method	Stat Analysis: On Signal Type	Stat Analysis: Signal Space	Channel Selection Method	Channel Selection	ROI Method	Stat Analysis: Metric	Test for Normality	Outlier Removal	"Stat Analysis: Sample Size after rejections (#Channels; #Subjects)"	Stat Analysis: Threshold (p< X)	Multiple Comparisons Correction	Other Comments	Block Averaging: Window time range	Block Averaging: Modifiers	How confident are you with your fNIRS signal analysis skills	Contributors	Analysis Confidence	Results confidence	Other	Other copy	Other copy copy	Other copy copy copy	Block Averaging: Detrending: Other	Other Regressor	Other Stats Software	Other Stats Method	Other Stats Metric	Did you use Default Parameters for AR model order?
Study 1	6	BFF	1	Custom: Matlab,R,HOMER3,QT NIRS	PSP (Cardiac Power Spectrum Peak),SCI (Scalp-Coupling Index),Manual Selection		"SCI_thresh  = 0.6; PSP_thresh = 0.1; QUALITY_thresh = 70; "	(checked)	"Participants 2, 3, 8, 9, 13 and 14 were removed prior to further analyses because < 60% of their channels were of sufficient quality. In addition, two channels were removed because of the heart rate was not visible in the raw fNIRS signals (< 70% of visibility across participants); two supplementary channels were removed because they were identified as having a poor quality;  in more than half of the participants. OTHER_PARAMETERS = default"		6	Wavelet Filter	checked		The motion-corrected data were visually inspected to ensure that the selected IQR value was well suited to the present dataset.				LowPass	f_lp = 0.5		checked		No	PPF = [1.0 1.0]	Block Averaging									RStudio	Paired t-Test,One-tailed t-test,One-Sample t-Test	HbO only	ROI			We used the same ROIs as in Luke et al. (2021), because ROIs required by the hypotheses and in that paper were similar.	signal amplitude (windowed)	Shapiro-Wilk	Extreme values (i.e., above Q3 + 1.5 × IQR or below Q1 - 1.5 × IQR) was removed prior to further analyses.		0.05	Bonferroni		[5 7]	Baseline correction		"Ségolène M. R. Guérin : Formal analysis, software, visualization
Marion A. Vincent: Formal analysis, software"	4	4		Visual inspection of power-spectrum density of raw fNIRS signals								
Study 2	6	BFF	2	Custom: Matlab,R,HOMER3,QT NIRS	PSP (Cardiac Power Spectrum Peak),SCI (Scalp-Coupling Index),Manual Selection		"SCI_thresh = 0.8; PSP = 0.1; QUALITY_thresh = 70; "	(checked)	"Participants 6, 7, and 10 were removed prior to further analyses because < 70% of their channels (in each experimental condition) were of sufficient quality. In addition, two channels were removed because of the heart rate was not visible in the raw fNIRS signals (< 70% of visibility across participants); eight supplementary channels (two pertaining to the primary motor cortex) were removed because they were identified as having a poor quality in more than half of the participants. OTHER_PARAMETERS = default"		3	Wavelet Filter	checked		The motion-corrected data were visually inspected to ensure that the selected IQR value was well suited to the present dataset.				LowPass	f_lp = 0.5		checked	OD	No	PPF = [1.0 1.0]	Block Averaging									RStudio	One-tailed t-test,One-Sample t-Test	HbO only	ROI			We used the locations provided by Novi et al. (2020), as their fNIRS probe was similar to the one used to test the hypotheses.	signal amplitude (windowed)	Shapiro-Wilk	Extreme values (i.e., above Q3 + 1.5 × IQR or below Q1 - 1.5 × IQR) was removed prior to further analyses.		0.05	Bonferroni		[5 7]	Baseline correction		"Ségolène M. R. Guérin: Formal analysis, software, visualization
Marion A. Vincent: Formal analysis, software"	4	3		Visual inspection of power-spectrum density of raw fNIRS signals.								
Study 1	7	Bionics Institute HUM team	1	MNE	N/A							TDDR	checked						LowPass,HighPass	"f_lp = 0.3; f_hp = 0.01"		checked	Hemoglobin		PPF = [0.115 0.115]	GLM		Default		The averaged beta values within the ROI is the weighted average among all channels within the ROI, with the weights as the inverse of the significance of fit from that channel.	SPM	convolved with a box car function of 5s duration	Short Channels		Matlab	Paired t-Test	HbO only	ROI			Shader, M. J., Luke, R., Gouailhardou, N., & McKay, C. M. (2021). The use of broad vs restricted regions of interest in functional near-infrared spectroscopy for measuring cortical activation to auditory-only and visual-only speech. Hearing Research, 406, 108256. https://doi.org/10.1016/j.heares.2021.108256	beta values provided by GLM				0.05	Bonferroni					"Tommy Peng - full analysis of dataset 1.
Ishara Paranawithana - ROI and pre-processing pipeline definition and selection of dataset 2.
Darren Mao - rest of the analysis of dataset 2."	5	5										
Study 2	7	Bionics Institute HUM team	2	NIRS Toolbox,Custom: Matlab,HOMER3	N/A							TDDR		"TDDR_split_PosNeg = TRUE;"					LowPass,HighPass	"f_hp = 0.01; f_lp = 0.25; "	"filter_order = 8;"		Hemoglobin	No	PPF = [0.1 0.1]	Block Averaging										Other	HbO only	ROI			Yes - NIRS toolbox to select for motor region	Other	N/A			"0.05;"	Bonferroni		[-3 12]	Baseline correction		"Tommy Peng - full analysis of dataset 1.
Ishara Paranawithana - ROI and pre-processing pipeline definition and selection of dataset 2.
Darren Mao - rest of the analysis of dataset 2."	5	4								Hotelling T2 test	Took five evenly spaced bins between 2 and 8 seconds post-stimulus. Hotelling T2 test on these 5-dimensional points 	
Study 1	8	CBCD_fNIRS	1	HOMER3,QT NIRS	SCI (Scalp-Coupling Index),PSP (Cardiac Power Spectrum Peak)		"SCI_thresh = 0.7; PSP_thresh = 0.1; QUALITY_thresh = 0.7; wdw_length= 3; overlap = 0; F_range=[0.5 2.5]"		"Participants that did not have at least 60% of the channels valid were excluded from further analysis (N=7). Subjects=7;"		7	Wavelet Filter		IQR_wavelet = 1.5					LowPass,HighPass	"f_hp = 0.01; f_lp = 0.3"		checked	OD	No	DPF= [6 6]	GLM		OLS (Ordinary Least Squares)			Consecutive Gaussian	"Width=1 s; step= 1 s; time range= [-2 10] s"	Short Channels		Matlab	One-Sample t-Test	HbO and HbR	Channel			We used the spatial registration as implemented in the NIRS-SPM toolbox	beta values provided by GLM	N/A			0.05	N/A					"Chiara Bulgarelli=channel pruning; stats
Louisa Gossé=preprocessing
Paola Pinti=co-registration; processing planning"	4	3										
Study 2	8	CBCD_fNIRS	2	HOMER3,NIRS-SPM,QT NIRS	PSP (Cardiac Power Spectrum Peak),SCI (Scalp-Coupling Index)		"SCI_thresh = 0.7; PSP_thresh = 0.1;  QUALITY_thresh = 0.7; F_range=[0.5 2.5]; wdw_length = 3; overlap=0"		"Subjects excluded= 1; 60% of good quality channels per participant"		1	Wavelet Filter		IQR_wavelet = 1.5					LowPass,HighPass	"f_hp = 0.01; f_lp = 0.3"		checked	OD	No	DPF= [6 6]	GLM		OLS (Ordinary Least Squares)		The preprocessed signals in HbO2 and HbR were contatenated across the 4 sessions and analysed with a General Linear Model (GLM) approach using the SPM for fNIRS package. The 8 experimental conditions (Rest/Task Left/Right finger tapping 2s/3s) were modelled in the design matrix alongside the short separation channels (that survived the QT-NIRS quality assessment). The boxcar functions reflecting the 8 experimental conditions were convolved with the canonical Hemodynamic Response Function (HRF) made of two gamma functions. A negative HRF was used to fit the HbR time-series. The design matrix then included the following regressors: Rest left finger tapping 2s, Task left finger tapping 2s, Rest left finger tapping 3s, Task left finger tapping 3s, Rest right finger tapping 2s, Task right finger tapping 2s, Rest right finger tapping 3s, Task right finger tapping 3s, short separation channels plus the constant term of the model. This was used to fit the fNIRS data from the long-separation channels, for HbO2 and HbR separately.	SPM	Double gamma function used in SPM-fNIRS	Short Channels		Matlab	One-Sample t-Test	HbO and HbR	Channel			the spatial information reported in the paper by Novi et al. (2020) were used	beta values provided by GLM	N/A			0.05	FDR					"Chiara Bulgarelli=channel pruning
Louisa Gossé=preprocessing, co-registration
Paola Pinti=preprocessing, analysis, stats"	4	3										
Study 1	9	C-BRAIN	1	NIRS Toolbox	Visual Inspection of Time Domain			checked			7	Wavelet Filter	checked					2	N/A			checked	N/A	No	DPF = [5 5]	GLM		AR-IRLS (Autoregressive model based pre-whitening filter and robust regression)		Akaike model-order (AIC) selection to whiten the model and Tukey's bisquare function for weighting the regressors	Default	Canonical approach	Short Channels		nirs toolbox	Mixed Effects Model	HbO only	Channel			using demographic information and estimate the standard coordination using Mangoviewer	beta values provided by GLM	N/A			0.05	FDR					"Ali Rahimpour Jounghani: quality checking, using data analysis toolbox, exploratory data analysis using different approaches, filling out the questionnaire.
Hadi Hosseini: review and interpret the statistical results, and conclude based on the neuroscientific interpretation."	4	3										checked
Study 2	9	C-BRAIN	2	NIRS Toolbox	Visual Inspection of Time Domain			checked			3	TDDR	checked					1	N/A			checked	N/A	No	DPF = [5 5]	GLM		AR-IRLS (Autoregressive model based pre-whitening filter and robust regression)			FIR	 FIR-Deconvolution, binwidth:1.5s, nbins:10, boxcar 	Short Channels		Matlab,nirs toolbox	Mixed Effects Model	HbO only	Channel			based on provided demographic information, we estimate the ROIs using Mangoviewer	beta values provided by GLM	N/A			0.05 	FDR					"Ali Rahimpour Jounghani: quality checking, using data analysis toolbox, exploratory data analysis using different approaches, filling out the questionnaire.
Hadi Hosseini: review and interpret the statistical results, and conclude based on the neuroscientific interpretation."	4	4										checked
Study 1	10	Charles Angels	1	HOMER3	SNR Threshold,Manual Selection,Other		"SNR_thresh = 5; enprunechannels = [5e -2, 1 e 99; SDrange = 20-45]"		0 subjects were removed. However, we excluded 0-7 long channels per person. 		0	Spline Interpolation,Wavelet Filter		"IQR_wavelet = 1; p_spline = .99"	"First used Motion_artifact_by_channel = [tmotion = 1; tmask = 1; STDEVthresh = 50; AmpThresh = .4] precorrection; then we used Motion_artifact with the same parameters post correction."				LowPass,HighPass	"f_hp = 0.01; f_lp =0.7"	filter_type = butter		OD	No	PPF = [1.0 1.0]	Block Averaging										One-Sample t-Test,Paired t-Test	HbO and HbR	ROI			10-20 projections using FOLD	signal amplitude (windowed)	N/A			0.05	None		[3 7]			Eileen Sullivan ROIS and statistics, Renata Di Lorenzo preprocessing, Caroline Kelsey preprocessing and creating matlab scripts	4	2		"light intensity (enprunechannels function in homer3); visual inspection of PSD for heart rate"					SPSS			
Study 2	10	Charles Angels	2	HOMER3	Manual Selection,SNR Threshold,Other		"SNRthresh = 5; enprunechannels = [6e-2, 1e9; SDrange = 20-45]"		"0 subjects removed; Channels pruned ranged from 0-3 per subject."		0	Spline Interpolation,Wavelet Filter		IQR_wavelet = 1, p_spline = .99	First identified motion before correction using Motion_artifact_by_Channel [tmotion = 1, tmask = 1, STDEVThresh = 50, AmpThresh = .4] , following correction used Motion_artifact with the same parameters 				LowPass,HighPass	"f_hp = 0.005; f_lp = 0.5"	filter_type = butter		OD		PPF = [1.0 1.0]	Block Averaging										Repeated Measures ANOVA,One-Sample t-Test,Paired t-Test	Other	ROI			10-20 projections using FOLD, also used mni coordinated listed in the published paper	signal amplitude (windowed)	N/A			0.05	None		[1.5 6]			Eileen Sullivan ROIs and Statistics, Renata Di Lorenzo fNIRS preprocessing, Caroline Kelsey fNIRS preprocessing and developing matlab scripts	4	2		visual inspection of PSD for heart rate					SPSS		for t-tests (one sample and paired) used oxyhb and deoxyhb, for repeated measures anova just used oxyhb	
Study 1	11	Copenhagen fnirs crew	1	NIRS Toolbox,AnalyzIR	SCI (Scalp-Coupling Index)		SCI_thresh = 0.7		On average we rejected 10 channels per subject within the audio dataset (min 2, max 21).	170		TDDR	checked						LowPass,HighPass	"f_lp = 0.7; f_hp = 0.02"	"filter_type = butter; filter_order = 5"		OD	No	PPF = [0.1 0.1]	GLM		AR-IRLS (Autoregressive model based pre-whitening filter and robust regression)			Default	Canoncial HRF as specified in default option	PCA of the Short Channels		nirs toolbox	Linear Mixed Effects	HbO only	ROI			We used the fOLD toolbox with a criterium of at least 35% specificity to consider the channels corresponding to a certain ROI.	beta values provided by GLM	N/A			0.05	Benjamini-Hochberg	We are looking forward to hear about the outcome of FRESH! For other comments regarding issues we noticed during the analysis, please have a look in the report we submitted.				"Alina Schulte: Data analysis, report writing
Maaike Van Eeckhoutte: Data analysis, report writing
Tirdad Seifi Ala: Data analysis
Hamish Innes-Brown: Review and supervision

"	3	3										checked
Study 2	11	Copenhagen fnirs crew	2	AnalyzIR,NIRS Toolbox	SCI (Scalp-Coupling Index)		SCI_thresh = 0.7		On average over the 4 datasets, we discarded 13 channels per subject (min=2, max = 63)			TDDR	checked					3,9	LowPass,HighPass	"f_hp = 0.02; f_lp = 0.7"	"filter_type = butter; filter_order = 5"		OD	No	PPF = [0.1 0.1]	GLM		AR-IRLS (Autoregressive model based pre-whitening filter and robust regression)			Default	Canonical	PCA of the Short Channels		Matlab	Linear Mixed Effects	HbO only	ROI			We used the same channels as reported in the corresponding paper by Novi et al.	beta values provided by GLM	N/A			0.05	Benjamini-Hochberg	See report and questionnaire for dataset 1.				see questionnaire for dataset 1.	3	3										
Study 1	12	Dr. Borrell's Team	1	HOMER3	Manual Selection			checked				Other		glmSolveMethod = 2	Motion correction was conducted within the GLM (Barker 2013). rhoSD_ssThresh = 15.0				N/A		N/A	checked	GLM regressor	No	PPF = [1.0 1.0]	GLM		AR-IRLS (Autoregressive model based pre-whitening filter and robust regression)		"rhosSD_ssThresh = 15.0; flagNuisanceRMethod = 0"	Consecutive Gaussian	"trange = [-2.0 10.0]; paramsBasis = [0.5 0.5]; driftOrder = [0]"	Short Channels		Matlab	Two-tailed t-test	HbO only	Channel			Utilized the MNI coordinates of each source and detector to define the ROI.	beta values provided by GLM	N/A			0.05	N/A					Jordan Borrell, Chris Copeland, Kolby Brink	4	4			hmrR_GLM							
Study 2	12	Dr. Borrell's Team	2	HOMER3	Manual Selection			checked				Other		glmSolveMethod = 2	Motion correction was conducted within the GLM (Barker 2013). rhoSD_ssThresh = 15.0				N/A		N/A	checked	GLM regressor	No	PPF = [1.0 1.0]	GLM		AR-IRLS (Autoregressive model based pre-whitening filter and robust regression)		"rhosSD_ssThresh = 15.0; flagNuisanceRMethod = 0"	Consecutive Gaussian	"trange = [-2.0 10.0]; paramsBasis = [0.5 0.5]; driftOrder = [0]"	Short Channels		Matlab	Two-tailed t-test	HbO only	Channel			Utilized the MNI coordinates of each source and detector to define the ROI.	beta values provided by GLM	N/A			0.05	N/A					Jordan Borrell, Chris Copeland, Kolby Brink	4	4			hmrR_GLM							
Study 1	13	Empenn U1228	NA																																																													
Study 2	13	Empenn U1228	2	MNE	PSP (Cardiac Power Spectrum Peak),SCI (Scalp-Coupling Index)		"SCI_thresh = 0.8; PSP_thresh = 0.1"	checked			242	TDDR	checked						LowPass,HighPass	"f_hp = 0.01; f_lp = 0.09"		checked	Hemoglobin		DPF = [6 6]	GLM		OLS (Ordinary Least Squares)	ORDER = 1	Both the ?HbO and the ?HbR signals from the short channels were averaged and included as two additional regressors.	Gamma	TR=0.112	Short Channels		Python	Multiple Comparisons Correction,Two-Sample t-Test,One-tailed t-test	HbO and HbR	Channel			From [Novi 2020]'s paper we extracted channels located in the primary motor cortex, i.e. spanning the precentral gyrus. Channels S5_D13, S5_D16, S3_D2, S3_D8, S3_D9 for the left hemisphere and S12_D29, S12_D32, S10_D24, S10_D18, S10_D25 for the right hemisphere.	beta values provided by GLM	N/A	Channels identified as bad in QC were considered not significant.		0.05	FDR					"Nolwenn Jégou data analysis, design analysis and report
 Isabelle Corouge design analysis and report
 Elise Bannier design analysis and report
 Emmanuel Caruyer design analysis and report"	3	3									p_valules provided by GLM and corrected for multiple comparison	checked
Study 1	14	FRESH at Western	1	AnalyzIR,HOMER3	Other				We opted to not exclude any timepoints, trials, channels, runs, participants, etc. Our main reasons include (a) limited data available, and (b) we used AR-IRLS which should be effective at down-weighting sources of noise that may otherwise need to have been removed.	0	0	Spline Interpolation,Wavelet Filter		"tMotion = 1; tMask = 1; STDEVthresh = 8; AMPthresh = 0.4; p = 0.99, sthresh_wavelet = 1.08; iqr_wavelet= 0.8; removeScaling = True"	This pipeline is exclusive to our OLS analysis. We did not perform any motion correction when doing AR-IRLS analysis.			4	HighPass	N/A	filter_type = wavelet		OD	Other	PPF = [0.1 0.1]	GLM		AR-IRLS (Autoregressive model based pre-whitening filter and robust regression),OLS (Ordinary Least Squares)	Pre-whitening with a 10 sec model (OLS only).	All short channels were regressed from each long channel (independently for HbO and HbR).	Default	We used the default HRF provided in NIRS Toolbox (nirs.design.basis.Canonical).	Short Channels		nirs toolbox	Robust Mixed Effects Model	HbO and HbR	ROI,Channel			We used meta-analysis maps from Neurosynth (https://neurosynth.org/) to define channel weighting for all ROIs. In cases where the channels selected by this process were not symmetrical by hemisphere, we did not force symmetry (e.g., Heschl’s Gyrus).	beta values provided by GLM	N/A	We did not explicitly remove any outliers. However, the robust mixed effects model used and AR-IRLS would have down-weighted the outliers.		0.05	N/A	"Homer3 was used during Spline Interpolation only. The rest were performed in NIRS Toolbox/AnalyzIR.

Our Robust Mixed Effects model used a Random Effects formula.

The motor dataset structure was very unfamiliar to us since our group generally does not separate conditions by runs. Since we do not have any experience analyzing data from such paradigms, the methods we have used in our analyses might not be optimal. Also, we tend to focus on group-level analyses.

We were more lenient in our preprocessing and analyses that we typically are. This was due to data quality, unfamiliar paradigm structure, auditory ROIs that are generally difficult to target with fNIRS, and low sample size.

We analyzed the data using two pipelines (OLS and AR-IRLS) and evaluated the extent of agreement between their results. When doing OLS, we used all preprocessing steps included above. During AR-IRLS, we did not include any supplementary motion correction or pre-whitening (since these are already included in the AR-IRLS algorithm).

When interpreting results, we looked for agreement between HbO and HbR signals. However, in cases that the results were significant only in one signal, we reported it accordingly."				Kevin Stubbs (Team Lead, Coding, Planning, Interpretation), Homa Vahidi (Planning, Interpretation), Michaela Kent (Planning, Interpretation), Siying Luan (Planning, Interpretation)	4	3		We used visual inspection at various levels of preprocessing to ensure parameters we had chosen were as effective as possible but we did not prune.		When doing OLS analysis, we pre-whitened the HbO and HbR signals using an Auto-Regressive (AR) method with a 10sec model.						
